epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.37270641326904297,0.0010000000474974513,1.8567986488342285,0.12789352238178253,3.0726680755615234
1,0.5220757126808167,0.0010000000474974513,1.5545191764831543,0.15740740299224854,4.186718463897705
2,0.5994839668273926,0.0010000000474974513,1.405954360961914,0.5538194179534912,1.5447708368301392
3,0.6627007126808167,0.0010000000474974513,1.2959349155426025,0.7210648059844971,1.197047233581543
4,0.6996846199035645,0.0010000000474974513,1.2238993644714355,0.6961805820465088,1.2649719715118408
5,0.7330848574638367,0.0010000000474974513,1.1474370956420898,0.7488425970077515,1.1985920667648315
6,0.756164014339447,0.0010000000474974513,1.0974730253219604,0.7609953880310059,1.147667407989502
7,0.7879874110221863,0.0010000000474974513,1.0417662858963013,0.7366898059844971,1.2394285202026367
8,0.8093463182449341,0.0010000000474974513,0.9976191520690918,0.8483796119689941,0.9687336087226868
9,0.8264048099517822,0.0010000000474974513,0.9678187370300293,0.8333333134651184,0.9828532338142395
10,0.8384460806846619,0.0010000000474974513,0.9386017918586731,0.8686342835426331,0.9466198086738586
11,0.8405963182449341,0.0010000000474974513,0.926939845085144,0.8883101940155029,0.8863002061843872
12,0.8579415082931519,0.0010000000474974513,0.8984964489936829,0.8697916865348816,0.9525160789489746
13,0.8689793348312378,0.0010000000474974513,0.8730793595314026,0.8622685074806213,0.9494778513908386
14,0.868835985660553,0.0010000000474974513,0.8676931858062744,0.8790509104728699,0.8856831192970276
15,0.8790137767791748,0.0010000000474974513,0.8517531752586365,0.8026620149612427,1.1415748596191406
16,0.8808773159980774,0.0010000000474974513,0.8459519743919373,0.9016203880310059,0.933284342288971
17,0.8920584917068481,0.0010000000474974513,0.8192617297172546,0.9010416865348816,0.8444874882698059
18,0.8965023159980774,0.0010000000474974513,0.812644898891449,0.8935185074806213,0.886044979095459
19,0.8989391922950745,0.0010000000474974513,0.8035696744918823,0.890625,0.8856735825538635
20,0.9038130640983582,0.0010000000474974513,0.7956835627555847,0.921875,0.8243100047111511
21,0.9099770784378052,0.0010000000474974513,0.7823708057403564,0.8807870149612427,0.9218170046806335
22,0.9197247624397278,0.0010000000474974513,0.7692548632621765,0.8969907164573669,0.8781076073646545
23,0.9151375889778137,0.0010000000474974513,0.7735346555709839,0.8396990895271301,1.0662339925765991
24,0.9224483966827393,0.0010000000474974513,0.7654555439949036,0.921875,0.818928062915802
25,0.9284690618515015,0.0010000000474974513,0.7446920275688171,0.9282407164573669,0.7657625675201416
26,0.9306192398071289,0.0010000000474974513,0.746767520904541,0.8975694179534912,0.8708661198616028
27,0.9379300475120544,0.0010000000474974513,0.7266649007797241,0.9247685074806213,0.82159423828125
28,0.9346330165863037,0.0010000000474974513,0.7304739952087402,0.8813657164573669,0.9499074220657349
29,0.9389334917068481,0.0010000000474974513,0.7294456362724304,0.9311342835426331,0.7562665343284607
30,0.9420871734619141,0.0010000000474974513,0.7143961191177368,0.9259259104728699,0.7782849669456482
31,0.9412270784378052,0.0010000000474974513,0.7201393842697144,0.9114583134651184,0.8118488192558289
32,0.9505447149276733,0.0010000000474974513,0.7018396258354187,0.9403935074806213,0.7631077170372009
33,0.94524085521698,0.0010000000474974513,0.7090520858764648,0.890625,0.8964758515357971
34,0.9499713182449341,0.0010000000474974513,0.6989588141441345,0.9450231194496155,0.7904510498046875
35,0.9660263657569885,0.0005000000237487257,0.6653141975402832,0.9571759104728699,0.7245153784751892
36,0.9658830165863037,0.0005000000237487257,0.6669389009475708,0.9565972089767456,0.7240758538246155
37,0.9684633016586304,0.0005000000237487257,0.6604384183883667,0.9577546119689941,0.709191620349884
38,0.9668864607810974,0.0005000000237487257,0.6595268845558167,0.9334490895271301,0.7732344269752502
39,0.970326840877533,0.0005000000237487257,0.6513503789901733,0.9502314925193787,0.7131689786911011
40,0.9706135392189026,0.0005000000237487257,0.6533713340759277,0.9311342835426331,0.7882429957389832
41,0.9698967933654785,0.0005000000237487257,0.6524953842163086,0.9554398059844971,0.7335660457611084
42,0.9720470309257507,0.0005000000237487257,0.6498410701751709,0.9519675970077515,0.7275840044021606
43,0.9760608077049255,0.0002500000118743628,0.6381922960281372,0.9542824029922485,0.7143915891647339
44,0.9757741093635559,0.0002500000118743628,0.6365781426429749,0.9594907164573669,0.7065924406051636
45,0.974914014339447,0.0002500000118743628,0.6412957310676575,0.9629629850387573,0.6935527324676514
46,0.9803612232208252,0.0002500000118743628,0.6284368634223938,0.9629629850387573,0.693657636642456
47,0.9795011281967163,0.0002500000118743628,0.6327729821205139,0.9635416865348816,0.7092429399490356
48,0.9797878265380859,0.0002500000118743628,0.628384530544281,0.9554398059844971,0.7152037620544434
49,0.9816513657569885,0.0002500000118743628,0.6207868456840515,0.9560185074806213,0.7256444096565247
